Topic,Words,Frequency,Timestamp
28,"sea, china sea, south china, south china sea, warship",21,2019-12-31 00:19:13.393999872
29,"plane, iran, crash, boeing, plane crash",400,2019-12-31 00:19:13.393999872
30,"earthquake, zealand, new zealand, magnitude, magnitude earthquake",37,2019-12-31 00:19:13.393999872
31,"nazi, germany, german, auschwitz, holocaust",48,2019-12-31 00:19:13.393999872
32,"trump, trump says hit, trumps wilbur ross, hit overdue, good ending for",4,2019-12-31 00:19:13.393999872
33,"osbourne reveals, osbourne reveals he, ozzy osbourne reveals, ozzy osbourne, ozzy",4,2019-12-31 00:19:13.393999872
34,"president zelenskiy, zelenskiy, zelensky, ukrainian president, president",2,2019-12-31 00:19:13.393999872
35,"xinjiang, china, uighur, camps, human rights",16,2019-12-31 00:19:13.393999872
36,"myanmar, rohingya, rohingya muslims, of genocide, in myanmar",6,2019-12-31 00:19:13.393999872
37,"fukushima, radioactive, nuclear, radioactive water, water",13,2019-12-31 00:19:13.393999872
38,"tokyo, olympics, interprovince shuttle, organizers shoot down, kneeling no hand",5,2019-12-31 00:19:13.393999872
39,"gas, oil, pipeline, longest underwater gas, pipeline despite pledge",5,2019-12-31 00:19:13.393999872
40,"morrison, scott, scott morrison, australia, minister scott",52,2019-12-31 00:19:13.393999872
41,"india, border, worry about china, needn worry, india needn",7,2019-12-31 00:19:13.393999872
42,"mexico, mexican, guatemala, caravan, cartel",46,2019-12-31 00:19:13.393999872
43,"pakistan, imran, imran khan, khan, pakistani",25,2019-12-31 00:19:13.393999872
44,"prince, prince charles, charles, prince andrew, andrew",28,2019-12-31 00:19:13.393999872
45,"japan, japan confirms, case of new, case of, japanese",17,2019-12-31 00:19:13.393999872
46,"ancient, neanderthal, discovered, fossil prove scorpion, first landdwelling",15,2019-12-31 00:19:13.393999872
47,"iran, trump, iranian, with iran, us",179,2019-12-31 00:19:13.393999872
48,"amazon, rainforest, the amazon, deforestation, carbon",18,2019-12-31 00:19:13.393999872
49,"hezbollah, lebanon, hezbollah chief, hezbollah leader, beirut",8,2019-12-31 00:19:13.393999872
50,"venezuela, maduro, venezuelan, in venezuela, guaido",27,2019-12-31 00:19:13.393999872
51,"bushfires, australia, fires, australian, bushfire",275,2019-12-31 00:19:13.393999872
52,"netanyahu, netanyahu says, israel, immunity, benjamin",30,2019-12-31 00:19:13.393999872
53,"to join nuclear, join nuclear arms, arms talks with, nuclear arms talks, join nuclear",1,2019-12-31 00:19:13.393999872
54,"record, warmest, ice, on record, hottest",25,2019-12-31 00:19:13.393999872
55,"macron, france, commander killing, after iran commander, unite after",9,2019-12-31 00:19:13.393999872
56,"wildlife, dogs, dog, wildlife trade, cats",31,2019-12-31 00:19:13.393999872
57,"iran, nuclear deal, nuclear, deal, iran nuclear",71,2019-12-31 00:19:13.393999872
58,"iraq, in iraq, iraqi, us, base",259,2019-12-31 00:19:13.393999872
59,"israel envoy, develops diabetes drug, israel envoy compares, team develops diabetes, virus travel bans",2,2019-12-31 00:19:13.393999872
60,"italian court, tell me, tumours, italy, mobile phones",2,2019-12-31 00:19:13.393999872
61,"neil peart, terry jones, peart, drummer, terry",12,2019-12-31 00:19:13.393999872
62,"reduction in refugee, in uman four, knives and clubs, for reduction in, swedish pm calls",2,2019-12-31 00:19:13.393999872
63,"somali, ethiopia, somali atheists living, living in fearglobal, gun control law",4,2019-12-31 00:19:13.393999872
64,"of acute respiratory, petersburg with, hospital in st, st petersburg with, signs of acute",2,2019-12-31 00:19:13.393999872
65,"cruise, ship, cruise ship, on cruise ship, on cruise",7,2019-12-31 00:19:13.393999872
66,"killed, mali, nigerian, niger, attack",12,2019-12-31 00:19:13.393999872
67,"shark, pink, gear, whales, in australianbcnewscom",6,2019-12-31 00:19:13.393999872
68,"brazil, in brazil confirmed, brazil confirmed, coronavirus in brazil, first suspected case",6,2019-12-31 00:19:13.393999872
69,"huawei, network, huawei to, meng, extradition",45,2019-12-31 00:19:13.393999872
70,"heads to middle, to middle east, to middle, heads to, warships",6,2019-12-31 00:19:13.393999872
71,"vaccine, kong researchers have, hong kong researchers, kong researchers, researchers have",7,2019-12-31 00:19:13.393999872
72,"germany, merkel, german, chancellor, iraq germany",11,2019-12-31 00:19:13.393999872
73,"go after fans, fans invade, fans invade bases, invade bases, after fans invade",4,2019-12-31 00:19:13.393999872
74,"schools, irish, the irish, bans all, students",9,2019-12-31 00:19:13.393999872
75,"korea, north korea, north, south, south korea",10,2019-12-31 00:19:13.393999872
77,"thunberg, greta, greta thunberg, davos, climate",69,2019-12-31 00:19:13.393999872
78,"zoo, elephants, animals, poachers, monkey sanctuary",12,2019-12-31 00:19:13.393999872
79,"raped, india, in india, rape, every minutes",13,2019-12-31 00:19:13.393999872
81,"australia, be livable, scientist says australian, sell outnews, adapt top scientist",5,2019-12-31 00:19:13.393999872
82,"tiktok, first transparency report, transparency report, tiktok claims, tiktok claims zero",6,2019-12-31 00:19:13.393999872
83,"plastic, singleuse, waste, plastics, be world",23,2019-12-31 00:19:13.393999872
84,"nato, officer for years, and finnish are, military officer for, years worked",2,2019-12-31 00:19:13.393999872
85,"extradition, assange, dunn, harry dunn, harry",26,2019-12-31 00:19:13.393999872
86,"afghanistan, alshabaab, military base, base, us",18,2019-12-31 00:19:13.393999872
87,"sex, grooming, child, rapist, prolific rapist",30,2019-12-31 00:19:13.393999872
88,"coal, power, wind, energy, plants",14,2019-12-31 00:19:13.393999872
89,"cannabis, marijuana, adolescents who, adolescents, early as do",12,2019-12-31 00:19:13.393999872
91,"jet as case, over suleimani killing, people in saulsberry, they think that, willful killing",4,2019-12-31 00:19:13.393999872
92,"cuba, flights to, squeeze cuba, further curbing, flights to island",4,2019-12-31 00:19:13.393999872
93,"citizenship law, in the new, india, citizenship, protest",5,2019-12-31 00:19:13.393999872
94,"amazon, employees, to fire employees, fire employees, amazon employees",19,2019-12-31 00:19:13.393999872
96,"floods, rain, landslides, in jakarta, rains",11,2019-12-31 00:19:13.393999872
97,"stranglehold, after it fails, the prefix mc, the prefix, its stranglehold",2,2019-12-31 00:19:13.393999872
98,"musk, elon, elon musk, robots, male blood",7,2019-12-31 00:19:13.393999872
99,"tax, tech, digital, papers, corporate tax",12,2019-12-31 00:19:13.393999872
-1,"the, to, in, of, coronavirus",2350,2020-02-02 21:23:48.200000000
0,"coronavirus, china, wuhan, chinese, virus",572,2020-02-02 21:23:48.200000000
1,"palestinian, israel, israeli, gaza, palestinians",106,2020-02-02 21:23:48.200000000
2,"russia, putin, ukraine, nuclear, russian",33,2020-02-02 21:23:48.200000000
3,"vaccine, coronavirus vaccine, covid vaccine, coronavirus, drug trials start",31,2020-02-02 21:23:48.200000000
4,"police, in, man, not crime, shooting",49,2020-02-02 21:23:48.200000000
5,"johnson, boris, boris johnson, brexit, uk",135,2020-02-02 21:23:48.200000000
6,"uk, coronavirus, covid, cases, confirmed",31,2020-02-02 21:23:48.200000000
7,"space, earth, nasa, asteroid, mars",74,2020-02-02 21:23:48.200000000
8,"taliban, afghanistan, peace deal, deal, peace",35,2020-02-02 21:23:48.200000000
9,"china, chinese, us, media, rules on",38,2020-02-02 21:23:48.200000000
10,"kong, hong, hong kong, toilet rolls in, rolls in",26,2020-02-02 21:23:48.200000000
11,"north, korea, north korea, korean, kim",28,2020-02-02 21:23:48.200000000
12,"taiwan, china, taipei, who, taiwanese",35,2020-02-02 21:23:48.200000000
13,"oscars viewership plunges, government pulledbillion from, pete buttigieg funded, by russianlinked oligarch, oligarch who supports",5,2020-02-02 21:23:48.200000000
14,"india, delhi, in india, hindu, muslims",58,2020-02-02 21:23:48.200000000
15,"turkey, turkish, greece, erdogan, syria",184,2020-02-02 21:23:48.200000000
16,"masks, mask, face, facial, face masks",46,2020-02-02 21:23:48.200000000
17,"coronavirus, cases, death, death toll, toll",214,2020-02-02 21:23:48.200000000
18,"trump, sanders, impeachment, bernie, bernie sanders",216,2020-02-02 21:23:48.200000000
19,"insists on merging, says russia insists, on merging the, on merging, the two states",1,2020-02-02 21:23:48.200000000
20,"saudi, arabia, yemen, saudi arabia, khashoggi",38,2020-02-02 21:23:48.200000000
21,"climate, climate change, change, emissions, of climate",50,2020-02-02 21:23:48.200000000
22,"dow, coronavirus, economic, stocks, recession",95,2020-02-02 21:23:48.200000000
23,"hacking, cia, protaiwan page inside, creates protaiwan page, page inside",16,2020-02-02 21:23:48.200000000
24,"facebook, zuckerberg, mark zuckerberg, ads, mark",22,2020-02-02 21:23:48.200000000
25,"bolsonaro, brazil, brazilian, pontiff plea to, attacks pope",13,2020-02-02 21:23:48.200000000
26,"poland, muslim pride, hungary, pride, first muslim pride",15,2020-02-02 21:23:48.200000000
27,"pope, francis, pope francis, vatican, church",59,2020-02-02 21:23:48.200000000
28,"navy, sea, china sea, south china, royal navy",8,2020-02-02 21:23:48.200000000
29,"boeing, plane, crash, iran, max",36,2020-02-02 21:23:48.200000000
30,"zealand, new zealand, confirmed case of, new, case of",7,2020-02-02 21:23:48.200000000
31,"germany, farright, german, nazi, antisemitic",41,2020-02-02 21:23:48.200000000
32,"trump, coronavirus, the, trump says, donald",66,2020-02-02 21:23:48.200000000
33,"navalny, critic, alexei, alexei navalny, jordan peterson is",6,2020-02-02 21:23:48.200000000
34,"zelensky, georgian asylum, vympel fsbs, president zeman says, zeman says",4,2020-02-02 21:23:48.200000000
35,"uighurs, beards, xinjiang, camps, china",19,2020-02-02 21:23:48.200000000
36,"rohingya, myanmar, clooney to pursue, amal clooney to, refugee boat capsizes",3,2020-02-02 21:23:48.200000000
37,"nuclear, chernobyl, fukushima, radiation, plant",5,2020-02-02 21:23:48.200000000
38,"olympics, tokyo, tokyo olympics, olympic, ioc",33,2020-02-02 21:23:48.200000000
39,"oil, gas, pipeline, oil prices, gas pipeline",11,2020-02-02 21:23:48.200000000
40,"morrison, scott morrison, scott, australia, indemnity",6,2020-02-02 21:23:48.200000000
41,"india, india to, working on very, for alternatives, to receive quacking",7,2020-02-02 21:23:48.200000000
42,"mexico, mexican, arcade, in mexico, game arcade in",22,2020-02-02 21:23:48.200000000
43,"pakistan, christian, in pakistan, girl, blasphemy",18,2020-02-02 21:23:48.200000000
44,"prince, prince andrew, andrew, queen, buildings will",8,2020-02-02 21:23:48.200000000
45,"japan, in japan, japanese, traffic lights, coronavirus",37,2020-02-02 21:23:48.200000000
46,"found, oldest, discovered, yearold, archaeologists",13,2020-02-02 21:23:48.200000000
47,"iran, coronavirus, in iran, iranian, outbreak",76,2020-02-02 21:23:48.200000000
48,"amazon, deforestation, forests, rainforest, the amazon",22,2020-02-02 21:23:48.200000000
49,"hezbollah, come hezbollah, does accept, managing economic crisis, managing economic",2,2020-02-02 21:23:48.200000000
50,"venezuela, maduro, venezuelan, juan, guaid",32,2020-02-02 21:23:48.200000000
51,"australia, fires, bushfires, bushfire, fire",23,2020-02-02 21:23:48.200000000
52,"netanyahu, benjamin, israel, benjamin netanyahu, prime minister",29,2020-02-02 21:23:48.200000000
53,"dangerousgerman, world more dangerousgerman, more dangerousgerman president, china russia making, prepares to snub",2,2020-02-02 21:23:48.200000000
54,"ice, antarctica, record, temperature, hottest",47,2020-02-02 21:23:48.200000000
55,"macron, macron ally, sex video, mahathir, paris mayor",11,2020-02-02 21:23:48.200000000
56,"dog, pets, wildlife, dogs, cats",51,2020-02-02 21:23:48.200000000
57,"iran, nuclear, nuclear deal, it can, deal",15,2020-02-02 21:23:48.200000000
58,"iraq, baghdad, base, are stationed, iraqi",5,2020-02-02 21:23:48.200000000
59,"israel, israeli scientists, israeli, vaccine, coronavirus",24,2020-02-02 21:23:48.200000000
60,"italy, in italy, coronavirus, cases, italian",43,2020-02-02 21:23:48.200000000
61,"dies, dies at, dies aged, aged, flat",38,2020-02-02 21:23:48.200000000
63,"ethiopia, villagers, ages as, hit ethiopia as, mystery sickness",2,2020-02-02 21:23:48.200000000
64,"russia, coronavirus, moscow, foreigners, in russia",13,2020-02-02 21:23:48.200000000
65,"cruise, ship, cruise ship, diamond princess, passengers",83,2020-02-02 21:23:48.200000000
66,"joburg grade pupil, from factory ransom, joburg, broke instrument, factory ransom",5,2020-02-02 21:23:48.200000000
67,"whale, whales, shark, fish, off",15,2020-02-02 21:23:48.200000000
68,"brazil, in brazil, scientists discover mysterious, discover mysterious, indigenous",20,2020-02-02 21:23:48.200000000
69,"huawei, us, networks, meng, giant huawei",26,2020-02-02 21:23:48.200000000
70,"arabian sea, seizes, arabian, of iranianmade, iranianmade weapons",5,2020-02-02 21:23:48.200000000
71,"herself with, vaccine, herself, communist party, chinese",3,2020-02-02 21:23:48.200000000
72,"merkel, germany, german, angela, german president",23,2020-02-02 21:23:48.200000000
73,"rail, wetsuweten, pipeline, blockades, protesters",42,2020-02-02 21:23:48.200000000
74,"schools, all schools, close, school, coronavirus",22,2020-02-02 21:23:48.200000000
75,"korea, south korea, south, korea reports, coronavirus",75,2020-02-02 21:23:48.200000000
77,"greta, thunberg, greta thunberg, nobel, climate",45,2020-02-02 21:23:48.200000000
78,"botswana, elephant, elephants, elephant hunting, tigers",15,2020-02-02 21:23:48.200000000
79,"raped, girl, grounds, grounds of us, embassy",16,2020-02-02 21:23:48.200000000
80,"stoned to death, stoned to, afghan, stoned, rights group",3,2020-02-02 21:23:48.200000000
81,"australia, holden, general motors, motors, australia as",9,2020-02-02 21:23:48.200000000
82,"tiktok, platform refuses to, standardssocial, fires does not, waterbomber plane crash",2,2020-02-02 21:23:48.200000000
83,"plastic, of their products, of plastic, their products, recycling",8,2020-02-02 21:23:48.200000000
84,"sas criticised for, airline sas criticised, truly scandinavian, sas criticised, nothing is truly",1,2020-02-02 21:23:48.200000000
85,"assange, julian, julian assange, wikileaks, extradition",28,2020-02-02 21:23:48.200000000
86,"drone, afghanistan, drone operator, missile on, us drone",18,2020-02-02 21:23:48.200000000
87,"child, sexual, grooming, grooming gangs, uk universities",18,2020-02-02 21:23:48.200000000
88,"coal, power, plants, power plants, power plants despite",8,2020-02-02 21:23:48.200000000
89,"cannabis, marijuana, weed, drugs, legalization",10,2020-02-02 21:23:48.200000000
92,"worlds poorest communities, cuban medical programme, programme that, administrations escalating attempts, communities has become",1,2020-02-02 21:23:48.200000000
93,"india, delhi, trump, visit, taj",39,2020-02-02 21:23:48.200000000
94,"amazon, delivery, workers, amazon bans, price gouging",12,2020-02-02 21:23:48.200000000
96,"floods, rain, flooding, without power, heavy rain",11,2020-02-02 21:23:48.200000000
97,"first timebusiness, timebusiness news, timebusiness, uk store for, uk store",1,2020-02-02 21:23:48.200000000
98,"musk, elon, elon musk, oilandgas titan, oilandgas",4,2020-02-02 21:23:48.200000000
99,"tax, blacklist, on tax haven, islands on tax, cayman islands on",6,2020-02-02 21:23:48.200000000
-1,"coronavirus, to, the, of, in",3696,2020-03-06 18:47:28.400000000
0,"china, coronavirus, wuhan, virus, chinese",730,2020-03-06 18:47:28.400000000
1,"israel, gaza, israeli, palestinian, hamas",25,2020-03-06 18:47:28.400000000
2,"putin, in power, allowing, allowing putin to, allowing putin",30,2020-03-06 18:47:28.400000000
3,"vaccine, coronavirus vaccine, covid, gates, coronavirus",62,2020-03-06 18:47:28.400000000
4,"police, paris, police minister, protest, vests",22,2020-03-06 18:47:28.400000000
5,"johnson, boris, boris johnson, uk, brexit",112,2020-03-06 18:47:28.400000000
6,"covid, coronavirus, uk, cases, variant",225,2020-03-06 18:47:28.400000000
7,"earth, space, nasa, moon, asteroid",34,2020-03-06 18:47:28.400000000
8,"taliban, afghanistan, from afghanistan, peace, us",12,2020-03-06 18:47:28.400000000
9,"china, chinese, journalists, us, american journalists",64,2020-03-06 18:47:28.400000000
10,"hong, kong, hong kong, kong police, hong kong police",21,2020-03-06 18:47:28.400000000
11,"korea, north, north korea, kim, south",49,2020-03-06 18:47:28.400000000
12,"taiwan, who, china, taiwans, coronavirus",72,2020-03-06 18:47:28.400000000
13,"russian white, russian white supremacists, on russian white, sanctions, slaps sanctions on",9,2020-03-06 18:47:28.400000000
14,"india, in india, coronavirus, covid, cow",145,2020-03-06 18:47:28.400000000
15,"turkey, turkish, greek, erdogan, greece",54,2020-03-06 18:47:28.400000000
16,"masks, face, mask, face masks, masks to",318,2020-03-06 18:47:28.400000000
17,"coronavirus, cases, coronavirus cases, toll, death toll",328,2020-03-06 18:47:28.400000000
18,"sanders, bernie sanders, bernie, sanders drops out, sanders drops",66,2020-03-06 18:47:28.400000000
19,"belarus, clowns belarus, of europe locks, is always ready, like clowns belarus",3,2020-03-06 18:47:28.400000000
20,"saudi, arabia, saudi arabia, oil, yemen",57,2020-03-06 18:47:28.400000000
21,"climate, climate change, change, rich are to, are to blame",12,2020-03-06 18:47:28.400000000
22,"recession, economy, dow, coronavirus, global",209,2020-03-06 18:47:28.400000000
23,"hackers, hackers target, target who as, as coronavirus cyberattacks, coronavirus cyberattacks",18,2020-03-06 18:47:28.400000000
24,"facebook, whatsapp, twitter, zuckerberg, deletes",19,2020-03-06 18:47:28.400000000
25,"bolsonaro, brazil, brazilian, jair, jair bolsonaro",124,2020-03-06 18:47:28.400000000
26,"hungary, poland, orban, viktor, viktor orban",26,2020-03-06 18:47:28.400000000
27,"pope, francis, pope francis, catholic, prayer",26,2020-03-06 18:47:28.400000000
28,"sea, china sea, south china, south china sea, china",16,2020-03-06 18:47:28.400000000
29,"plane, boeing, crash, plane crash, iran",19,2020-03-06 18:47:28.400000000
30,"zealand, new zealand, new, earthquake, lockdown",60,2020-03-06 18:47:28.400000000
31,"germany, farright, nazi, german, afd",16,2020-03-06 18:47:28.400000000
32,"trump, coronavirus, stimulus, house, white house",244,2020-03-06 18:47:28.400000000
33,"navalny, alexei, alexei navalny, critic, kremlin critic",3,2020-03-06 18:47:28.400000000
35,"xinjiang, human rights, rights, human, un human rights",17,2020-03-06 18:47:28.400000000
36,"to suu, to suu kyi, granted to suu, revokes honour, london revokes honour",1,2020-03-06 18:47:28.400000000
37,"chernobyl, radiation, nuclear, plant, forest",15,2020-03-06 18:47:28.400000000
38,"olympics, tokyo, tokyo olympics, olympic, ioc",57,2020-03-06 18:47:28.400000000
39,"oil, prices, oil prices, gas, price",45,2020-03-06 18:47:28.400000000
40,"due to cv, foriegn chinese investors, brink kindly fuck, takeover of australian, by foriegn",2,2020-03-06 18:47:28.400000000
41,"nepali, to china say, erupts at chinese, workers india, thriving too",4,2020-03-06 18:47:28.400000000
42,"mexico, cartel, mexican, chapo, in mexico",22,2020-03-06 18:47:28.400000000
43,"pakistan, women day, imran, stones, women day marchers",10,2020-03-06 18:47:28.400000000
44,"prince, queen, prince charles, charles, queen elizabeth",44,2020-03-06 18:47:28.400000000
45,"japan, in japan, japanese, coronavirus, tokyo",44,2020-03-06 18:47:28.400000000
46,"ancient, bones, of the, built, of",12,2020-03-06 18:47:28.400000000
47,"iran, coronavirus, in iran, sanctions, iranian",120,2020-03-06 18:47:28.400000000
48,"amazon, trees, deforestation, forests are, forests",13,2020-03-06 18:47:28.400000000
49,"lebanon, nasrallah, beirut, hezbollah, nasrallah infected with",6,2020-03-06 18:47:28.400000000
50,"venezuela, maduro, us, venezuelan, near venezuela",33,2020-03-06 18:47:28.400000000
51,"industry raised over, industry raised, games industry raised, over for australian, for australian bushfire",1,2020-03-06 18:47:28.400000000
52,"netanyahu, gantz, benjamin netanyahu, benjamin, israel",17,2020-03-06 18:47:28.400000000
54,"ice, antarctica, greenland, melting, six times faster",16,2020-03-06 18:47:28.400000000
55,"macron, president macron, france, elections, sunday local",5,2020-03-06 18:47:28.400000000
56,"dog, dogs, cats, coronavirus, animal",58,2020-03-06 18:47:28.400000000
57,"us sanctions, first instex deal, dodging us sanctions, europe completes, iran complete",2,2020-03-06 18:47:28.400000000
58,"iraq, base, troops, iraqi, iraqi base",11,2020-03-06 18:47:28.400000000
59,"israel, palestinians, coronavirus, israeli, ultraorthodox",40,2020-03-06 18:47:28.400000000
60,"italy, coronavirus, in italy, italian, deaths",226,2020-03-06 18:47:28.400000000
61,"dies, prine, john prine, dies aged, dies at",17,2020-03-06 18:47:28.400000000
62,"door, refugees, romanian health minister, mp goes to, and gives refugees",4,2020-03-06 18:47:28.400000000
63,"governmentconservative, which was listed, director was top, communist party which, us governmentconservative",2,2020-03-06 18:47:28.400000000
64,"coronavirus, russia, putin, moscow, covid",79,2020-03-06 18:47:28.400000000
65,"cruise, ship, cruise ship, passengers, suez",87,2020-03-06 18:47:28.400000000
66,"boko, boko haram, haram, sevenhour attack on, faso infound alive",3,2020-03-06 18:47:28.400000000
67,"turtles, sea turtles, endangered sea, endangered sea turtles, sharks",9,2020-03-06 18:47:28.400000000
68,"brazil, coronavirus, gangs impose, curfews, indigenous",37,2020-03-06 18:47:28.400000000
69,"huawei, huawei warns, will strike back, new us restrictions, china will strike",8,2020-03-06 18:47:28.400000000
70,"red after, creek runs red, cousin discovered in, cousin discovered, after ink spill",3,2020-03-06 18:47:28.400000000
71,"vaccine, coronavirus vaccine, military scientists ordered, scientists ordered, ordered to win",5,2020-03-06 18:47:28.400000000
72,"merkel, angela, angela merkel, germany, chancellor",21,2020-03-06 18:47:28.400000000
73,"the city, canadian, to keep six, ticketing individuals who, distinguish between different",3,2020-03-06 18:47:28.400000000
74,"schools, lockdown, homeless, all schools, all",89,2020-03-06 18:47:28.400000000
75,"korea, south korea, south, north, north korea",70,2020-03-06 18:47:28.400000000
77,"thunberg, greta, greta thunberg, greta thunberg says, thunberg says",13,2020-03-06 18:47:28.400000000
78,"gorillas, elephants, great apes, animals, apes",14,2020-03-06 18:47:28.400000000
79,"rape, bus rape and, delhi bus rape, bus rape, delhi bus",8,2020-03-06 18:47:28.400000000
80,"women, to spouse in, in secretive military, in doraemon, women wear",3,2020-03-06 18:47:28.400000000
81,"australia, victoria, lockdown, closes borders, borders",20,2020-03-06 18:47:28.400000000
82,"tiktok, user, the service more, to ban federal, user base to",5,2020-03-06 18:47:28.400000000
83,"plastic, on toxic plastic, toxic plastic, on toxic, toxic",12,2020-03-06 18:47:28.400000000
85,"assange, julian, julian assange, bail, bail by london",5,2020-03-06 18:47:28.400000000
86,"in somalia, somalia, kabul, killed, drone",9,2020-03-06 18:47:28.400000000
87,"abuse, sexual, sex, child, paedophiles",6,2020-03-06 18:47:28.400000000
88,"coal, plants, coal plants, electricity, cheaper",6,2020-03-06 18:47:28.400000000
89,"cannabis, road canada, province considers, decriminalizing drunk, road canada province",13,2020-03-06 18:47:28.400000000
90,"vaccine, vaccination might, developmentexpected, testing vaccine, phase of developmentexpected",3,2020-03-06 18:47:28.400000000
92,"cuba, cuban, countries, countries to, fight the coronavirus",18,2020-03-06 18:47:28.400000000
93,"modi, india, indian, track every indian, indians come out",6,2020-03-06 18:47:28.400000000
94,"amazon, warehouse, warehouse workers, workers, overtime",27,2020-03-06 18:47:28.400000000
96,"rain flash flooding, phenomenal seas, lashed by heavy, lashed by, vanuatupacific nation lashed",1,2020-03-06 18:47:28.400000000
97,"mcdonald, ikea, themark by ikea, by ikea, in russia",8,2020-03-06 18:47:28.400000000
98,"musk, elon, elon musk, tesla, factory",10,2020-03-06 18:47:28.400000000
99,"coffee stock, coo fabricated aboutmillion, fabricated aboutmillion in, tanksafter discovery that, sales markets",1,2020-03-06 18:47:28.400000000
-1,"coronavirus, to, the, of, in",2991,2020-04-08 16:11:08.600000000
0,"china, coronavirus, wuhan, lab, chinese",759,2020-04-08 16:11:08.600000000
1,"israel, gaza, west bank, bank, palestinian",44,2020-04-08 16:11:08.600000000
2,"poll russia, russia, putin, in libya, libya",11,2020-04-08 16:11:08.600000000
3,"vaccine, coronavirus vaccine, gates, covid, covid vaccine",91,2020-04-08 16:11:08.600000000
4,"police, shooting, nova, mass shooting, scotia",88,2020-04-08 16:11:08.600000000
5,"johnson, boris, boris johnson, uk, brexit",69,2020-04-08 16:11:08.600000000
6,"covid, sweden, coronavirus, deaths, uk",179,2020-04-08 16:11:08.600000000
7,"space, earth, moon, ufo, ufo videos",87,2020-04-08 16:11:08.600000000
8,"totally unprepared joe, afghanistan is enough, unprepared joe biden, intraafghan dialogue, biden would become",3,2020-04-08 16:11:08.600000000
9,"china, chinese, us, to, chinas",105,2020-04-08 16:11:08.600000000
10,"hong, kong, hong kong, prodemocracy, kong police",57,2020-04-08 16:11:08.600000000
11,"kim, north, korea, jong, kim jong",279,2020-04-08 16:11:08.600000000
12,"taiwan, who, china, for taiwan, who chief",118,2020-04-08 16:11:08.600000000
13,"rosneft will, atms, russia, rosneft, sanctions",6,2020-04-08 16:11:08.600000000
14,"india, in india, covid, coronavirus, cases",66,2020-04-08 16:11:08.600000000
15,"turkey, turkish, erdogan, cleric who, turkey sends",24,2020-04-08 16:11:08.600000000
16,"masks, mask, face, face masks, wear",139,2020-04-08 16:11:08.600000000
17,"coronavirus, cases, coronavirus cases, toll, death",148,2020-04-08 16:11:08.600000000
18,"trump, sanders, bernie sanders, bernie, joe",72,2020-04-08 16:11:08.600000000
19,"belarus, mass community action, painting treeplanting, painting treeplanting and, belarus ordered",1,2020-04-08 16:11:08.600000000
20,"saudi, arabia, saudi arabia, yemen, in yemen",65,2020-04-08 16:11:08.600000000
21,"climate, climate change, change, emissions, heat",33,2020-04-08 16:11:08.600000000
22,"economy, imf, recession, pandemic, income",107,2020-04-08 16:11:08.600000000
23,"hackers, cyberattack, cyber, cyberattacks, private web and",16,2020-04-08 16:11:08.600000000
